iter	Passed	Remaining
490	580	602
491	581	600
492	582	599
493	583	597
494	584	596
495	585	595
496	586	593
497	587	592
498	588	591
499	589	589
500	590	588
501	591	586
502	592	585
503	593	583
504	594	582
505	595	581
506	596	579
507	597	578
508	598	577
509	599	575
510	600	574
511	601	573
512	602	571
513	603	570
514	604	569
515	605	567
516	606	566
517	607	564
518	607	563
519	608	562
520	609	560
521	610	559
522	611	558
523	612	556
524	613	555
525	614	554
526	616	553
527	617	551
528	618	550
529	619	549
530	620	547
531	621	546
532	622	545
533	623	543
534	623	542
535	624	540
536	625	539
537	626	538
538	627	537
539	628	535
540	629	534
541	630	533
542	631	531
543	632	530
544	633	529
545	634	527
546	635	526
547	637	525
548	638	524
549	639	522
550	640	521
551	641	520
552	642	519
553	643	517
554	644	516
555	645	515
556	646	514
557	648	513
558	648	511
559	649	510
560	650	509
561	651	507
562	652	506
563	653	505
564	654	504
565	655	502
566	656	501
567	657	500
568	658	499
569	659	497
570	660	496
571	661	495
572	662	494
573	663	492
574	664	491
575	665	490
576	666	488
577	667	487
578	668	486
579	669	485
580	670	483
581	672	482
582	673	481
583	674	480
584	675	479
585	677	478
586	678	477
587	679	476
588	680	474
589	681	473
590	682	472
591	683	471
592	684	469
593	685	468
594	686	467
595	687	466
596	688	464
597	689	463
598	690	462
599	691	461
600	692	459
601	693	458
602	694	457
603	696	456
604	697	455
605	698	453
606	698	452
607	699	451
608	700	449
609	701	448
610	702	447
611	703	446
612	705	445
613	706	443
614	707	442
615	708	441
616	709	440
617	710	439
618	711	438
619	712	436
620	713	435
621	714	434
622	715	433
623	717	432
624	718	430
625	719	429
626	719	428
627	721	427
628	722	426
629	723	424
630	723	423
631	724	422
632	725	420
633	726	419
634	727	418
635	728	417
636	729	415
637	730	414
638	731	413
639	732	411
640	733	410
641	734	409
642	735	408
643	736	407
644	737	405
645	738	404
646	740	403
647	741	402
648	742	401
649	744	400
650	745	399
651	746	398
652	747	397
653	748	396
654	750	395
655	751	393
656	752	392
657	753	391
658	754	390
659	755	389
660	757	388
661	758	387
662	759	386
663	760	384
664	761	383
665	762	382
666	763	381
667	765	380
668	766	379
669	767	378
670	768	376
671	769	375
672	770	374
673	771	373
674	772	372
675	773	370
676	774	369
677	775	368
678	776	367
679	777	366
680	778	364
681	780	363
682	781	362
683	782	361
684	784	360
685	785	359
686	786	358
687	787	357
688	788	356
689	790	355
690	791	353
691	792	352
692	793	351
693	795	350
694	796	349
695	797	348
696	798	347
697	799	345
698	800	344
699	801	343
700	802	342
701	803	341
702	804	339
703	805	338
704	806	337
705	807	336
706	808	335
707	809	334
708	811	333
709	812	331
710	813	330
711	815	329
712	816	328
713	817	327
714	818	326
715	820	325
716	823	324
717	824	323
718	825	322
719	827	321
720	828	320
721	829	319
722	830	318
723	831	317
724	832	315
725	833	314
726	834	313
727	835	312
728	836	310
729	837	309
730	837	308
731	838	307
732	839	305
733	840	304
734	841	303
735	842	302
736	843	300
737	844	299
738	845	298
739	846	297
740	847	296
741	848	294
742	849	293
743	849	292
744	851	291
745	852	290
746	853	288
747	854	287
748	854	286
749	855	285
750	856	284
751	858	282
752	859	281
753	859	280
754	860	279
755	861	278
756	862	276
757	864	275
758	865	274
759	866	273
760	867	272
761	867	271
762	868	269
763	869	268
764	870	267
765	871	266
766	872	264
767	873	263
768	873	262
769	874	261
770	875	260
771	876	258
772	877	257
773	878	256
774	879	255
775	879	254
776	880	252
777	882	251
778	883	250
779	884	249
780	885	248
781	886	247
782	887	246
783	889	244
784	889	243
785	890	242
786	891	241
787	892	240
788	893	238
789	894	237
790	895	236
791	896	235
792	897	234
793	898	233
794	899	231
795	900	230
796	901	229
797	902	228
798	903	227
799	904	226
800	905	225
801	907	223
802	908	222
803	909	221
804	910	220
805	911	219
806	915	218
807	916	217
808	917	216
809	918	215
810	919	214
811	920	213
812	921	211
813	922	210
814	923	209
815	924	208
816	925	207
817	926	206
818	927	204
819	928	203
820	929	202
821	930	201
822	931	200
823	932	199
824	933	197
825	934	196
826	934	195
827	936	194
828	937	193
829	938	192
830	939	190
831	940	189
832	940	188
833	942	187
834	943	186
835	944	185
836	945	184
837	946	183
838	947	181
839	948	180
840	949	179
841	950	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	957	170
849	958	169
850	959	168
851	960	166
852	961	165
853	962	164
854	963	163
855	964	162
856	965	161
857	966	160
858	967	158
859	968	157
860	969	156
861	970	155
862	972	154
863	973	153
864	974	152
865	975	150
866	976	149
867	977	148
868	978	147
869	979	146
870	980	145
871	981	144
872	982	142
873	983	141
874	984	140
875	985	139
876	986	138
877	987	137
878	987	136
879	988	134
880	989	133
881	990	132
882	991	131
883	992	130
884	993	129
885	994	127
886	995	126
887	996	125
888	997	124
889	998	123
890	999	122
891	1000	121
892	1001	119
893	1002	118
894	1003	117
895	1003	116
896	1004	115
897	1005	114
898	1007	113
899	1008	112
900	1009	110
901	1009	109
902	1010	108
903	1011	107
904	1013	106
905	1014	105
906	1015	104
907	1015	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1022	94
915	1023	93
916	1023	92
917	1025	91
918	1025	90
919	1026	89
920	1027	88
921	1028	87
922	1029	85
923	1029	84
924	1031	83
925	1032	82
926	1033	81
927	1034	80
928	1034	79
929	1035	77
930	1036	76
931	1037	75
932	1038	74
933	1039	73
934	1040	72
935	1041	71
936	1042	70
937	1043	68
938	1044	67
939	1045	66
940	1046	65
941	1047	64
942	1048	63
943	1049	62
944	1050	61
945	1052	60
946	1053	58
947	1053	57
948	1054	56
949	1056	55
950	1057	54
951	1058	53
952	1059	52
953	1059	51
954	1060	49
955	1062	48
956	1063	47
957	1063	46
958	1064	45
959	1065	44
960	1066	43
961	1067	42
962	1068	41
963	1069	39
964	1070	38
965	1071	37
966	1071	36
967	1072	35
968	1073	34
969	1074	33
970	1075	32
971	1076	31
972	1077	29
973	1078	28
974	1079	27
975	1079	26
976	1081	25
977	1082	24
978	1082	23
979	1083	22
980	1084	21
981	1085	19
982	1086	18
983	1087	17
984	1088	16
985	1089	15
986	1090	14
987	1091	13
988	1092	12
989	1093	11
990	1094	9
991	1095	8
992	1096	7
993	1097	6
994	1098	5
995	1098	4
996	1099	3
997	1100	2
998	1101	1
999	1102	0
